x0004,y0004,x0005,y0005,x0018,y0018,x0019,y0019
0,2.158945185,0,-inf,0,2.841069659,1.220703125,1.443000365,
0.244140625,1.799242216,0.244140625,2.628447878,0.244140625,2.449246286,1.46484375,1.012798997,
0.48828125,1.427355179,0.48828125,2.223155857,0.48828125,2.090220785,1.708984375,0.7254574603,
0.732421875,1.182605878,0.732421875,1.916374718,0.732421875,1.841580505,1.953125,1.020283793,
0.9765625,0.9882498375,0.9765625,1.636965178,0.9765625,1.630316555,2.197265625,1.17898922,
1.220703125,0.8184782181,1.220703125,1.378576894,1.220703125,1.447420459,2.44140625,1.269423827,
1.46484375,0.6883609704,1.46484375,1.148738906,1.46484375,1.279615433,2.685546875,1.327968791,
1.708984375,0.6041884844,1.708984375,0.9226869587,1.708984375,1.136148572,2.9296875,1.369185485,
1.953125,0.5319940337,1.953125,0.6825376538,1.953125,0.9826073635,3.173828125,1.400002598,
2.197265625,0.5124306126,2.197265625,0.6349250429,2.197265625,0.8916333479,3.41796875,1.424149664,
2.44140625,0.5084980598,2.44140625,0.6064483623,2.44140625,0.8094322096,3.662109375,1.443816825,
2.685546875,0.4793454903,2.685546875,0.6325927353,2.685546875,0.6589779969,3.90625,1.460376191,
2.9296875,0.4842476796,2.9296875,0.7367704499,2.9296875,0.700877365,4.150390625,1.474731881,
3.173828125,0.4887382001,3.173828125,0.7971729169,3.173828125,0.6245791096,4.39453125,1.487504649,
3.41796875,0.5096024068,3.41796875,0.862449051,3.41796875,0.6689071386,4.638671875,1.499135823,
3.662109375,0.5228040613,3.662109375,0.9063741893,3.662109375,0.6961603585,4.8828125,1.509948985,
3.90625,0.546346461,3.90625,0.9688354331,3.90625,0.7665269051,5.126953125,1.520188188,
4.150390625,0.5367656807,4.150390625,0.9460344363,4.150390625,0.735909683,5.37109375,1.530042543,
4.39453125,0.5488514064,4.39453125,1.000050511,4.39453125,0.7040550069,5.615234375,1.539662549,
4.638671875,0.5513723736,4.638671875,0.9993565745,4.638671875,0.7352632909,5.859375,1.549171272,
4.8828125,0.5545527458,4.8828125,1.025356957,4.8828125,0.7764389508,6.103515625,1.558672208,
5.126953125,0.562434119,5.126953125,1.032584562,5.126953125,0.6904794503,6.34765625,1.568254983,
5.37109375,0.5926840127,5.37109375,1.086716158,5.37109375,0.7964893278,6.591796875,1.57799959,
5.615234375,0.5962759659,5.615234375,1.104499612,5.615234375,0.7791753357,6.8359375,1.587979672,
5.859375,0.6020530676,5.859375,1.116867175,5.859375,0.7981281633,7.080078125,1.598265144,
6.103515625,0.6045256417,6.103515625,1.128080697,6.103515625,0.8611453954,7.32421875,1.608924399,
6.34765625,0.6171374041,6.34765625,1.151016255,6.34765625,0.8491911289,7.568359375,1.620026255,
6.591796875,0.6274360997,6.591796875,1.165312567,6.591796875,0.8793613435,7.8125,1.631641785,
6.8359375,0.6432123055,6.8359375,1.196685832,6.8359375,0.9325186104,8.056640625,1.643846131,
7.080078125,0.6565399352,7.080078125,1.203282971,7.080078125,0.9581325156,8.30078125,1.656720419,
7.32421875,0.6798648699,7.32421875,1.225427142,7.32421875,1.04542229,8.544921875,1.670353878,
7.568359375,0.7112197263,7.568359375,1.260692513,7.568359375,1.084893977,8.7890625,1.684846287,
7.8125,0.7320039681,7.8125,1.281613602,7.8125,1.105217579,9.033203125,1.700310916,
8.056640625,0.7287837917,8.056640625,1.286782164,8.056640625,1.10108561,9.27734375,1.716878156,
8.30078125,0.753198986,8.30078125,1.288635913,8.30078125,1.089752512,9.521484375,1.734700116,
8.544921875,0.7828068615,8.544921875,1.323574287,8.544921875,1.110279883,9.765625,1.753956588,
8.7890625,0.8178810492,8.7890625,1.350545975,8.7890625,1.139481088,10.00976562,1.774862945,
9.033203125,0.8490769257,9.033203125,1.361922981,9.033203125,1.196509574,10.25390625,1.797680839,
9.27734375,0.9053189992,9.27734375,1.412231236,9.27734375,1.263456009,10.49804688,1.822733014,
9.521484375,0.9346709121,9.521484375,1.432714769,9.521484375,1.309528403,10.7421875,1.850424342,
9.765625,0.9703603655,9.765625,1.452395271,9.765625,1.363549331,10.98632812,1.881272545,
10.00976562,1.022252166,10.00976562,1.499178379,10.00976562,1.429279799,11.23046875,1.915954524,
10.25390625,1.063740716,10.25390625,1.522160296,10.25390625,1.472975169,11.47460938,1.95537894,
