"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0,0,
0.0005,0,
0.001,0,
0.0015,0,
0.002,0,
0.0025,0,
0.003,0,
0.0035,0,
0.004,0,
0.0045,0,
0.005,0,
0.0055,0,
0.006,0,
0.0065,0,
0.007,0,
0.0075,0,
0.008,0,
0.0085,0,
0.009,0,
0.0095,0,
0.01,0,
0.0105,0,
0.011,0,
0.0115,0,
0.012,0,
0.0125,0,
0.013,0,
0.0135,0,
0.014,-0.4541015625,
0.0145,-2.553710938,
0.015,-5.190429688,
0.0155,-3.442382812,
0.016,1.069335938,
0.0165,2.504882812,
0.017,1.630859375,
0.0175,1.215820312,
0.018,0.8984375,
0.0185,0.6201171875,
0.019,0.7861328125,
0.0195,0.361328125,
0.02,0.068359375,
0.0205,0.2734375,
0.021,0.9912109375,
0.0215,1.015625,
0.022,-0.185546875,
0.0225,-1.811523438,
0.023,-1.879882812,
0.0235,-0.05859375,
0.024,1.762695312,
0.0245,2.431640625,
0.025,2.622070312,
0.0255,2.060546875,
0.026,1.108398438,
0.0265,0.068359375,
0.027,-0.791015625,
0.0275,-1.435546875,
0.028,-1.953125,
0.0285,-2.03125,
0.029,-0.9130859375,
0.0295,-0.01953125,
0.03,-0.537109375,
0.0305,-1.567382812,
0.031,-2.026367188,
0.0315,-1.3671875,
0.032,-0.234375,
0.0325,0.52734375,
0.033,1.396484375,
0.0335,1.9140625,
0.034,1.879882812,
0.0345,1.596679688,
0.035,1.083984375,
0.0355,0.01953125,
0.036,-1.577148438,
0.0365,-2.24609375,
0.037,-1.118164062,
0.0375,0.6689453125,
0.038,1.391601562,
0.0385,1.064453125,
0.039,0.4833984375,
0.0395,0.52734375,
0.04,0.869140625,
0.0405,1.323242188,
0.041,1.9140625,
0.0415,2.021484375,
0.042,1.6015625,
0.0425,1.640625,
0.043,1.948242188,
0.0435,1.401367188,
0.044,-0.4638671875,
0.0445,-2.431640625,
0.045,-2.905273438,
0.0455,-2.041015625,
0.046,-0.8544921875,
0.0465,-0.078125,
0.047,0.390625,
0.0475,0.078125,
0.048,-0.361328125,
0.0485,-0.283203125,
0.049,0.13671875,
0.0495,0.283203125,
0.05,-0.2490234375,
0.0505,-0.3564453125,
0.051,0.1953125,
0.0515,0.6005859375,
0.052,-0.0927734375,
0.0525,-1.342773438,
0.053,-2.138671875,
0.0535,-2.32421875,
0.054,-1.9921875,
0.0545,-0.849609375,
0.055,0.4443359375,
0.0555,1.245117188,
0.056,1.513671875,
0.0565,1.665039062,
0.057,1.909179688,
0.0575,1.611328125,
0.058,0.6494140625,
0.0585,0.2734375,
0.059,0.8740234375,
0.0595,1.181640625,
0.06,0.966796875,
0.0605,0.166015625,
0.061,-0.5908203125,
0.0615,-1.176757812,
0.062,-1.557617188,
0.0625,-1.15234375,
0.063,-0.380859375,
0.0635,0.01953125,
0.064,0.2294921875,
0.0645,1.015625,
0.065,1.811523438,
0.0655,1.484375,
0.066,0.048828125,
0.0665,-1.225585938,
0.067,-1.616210938,
0.0675,-1.42578125,
0.068,-1.157226562,
0.0685,-0.91796875,
0.069,-1.137695312,
0.0695,-1.89453125,
0.07,-2.407226562,
0.0705,-1.879882812,
0.071,-0.9228515625,
0.0715,-0.6640625,
0.072,-0.5810546875,
0.0725,0.078125,
0.073,1.279296875,
0.0735,1.943359375,
0.074,1.694335938,
0.0745,0.9228515625,
0.075,-0.01953125,
0.0755,-0.9228515625,
0.076,-1.127929688,
0.0765,-0.2978515625,
0.077,0.3076171875,
0.0775,0.09765625,
0.078,-0.29296875,
0.0785,-0.1220703125,
0.079,0.3564453125,
0.0795,0.4345703125,
0.08,0.3466796875,
0.0805,0.7763671875,
0.081,1.34765625,
0.0815,1.596679688,
0.082,1.635742188,
0.0825,1.513671875,
0.083,0.72265625,
0.0835,-0.6884765625,
0.084,-1.611328125,
0.0845,-1.748046875,
0.085,-1.635742188,
0.0855,-1.7578125,
0.086,-1.577148438,
0.0865,-0.849609375,
0.087,-0.244140625,
0.0875,-0.400390625,
0.088,-0.64453125,
0.0885,-0.439453125,
0.089,-0.2294921875,
0.0895,0.1171875,
0.09,0.6201171875,
0.0905,0.966796875,
0.091,0.5615234375,
0.0915,-0.4736328125,
0.092,-1.059570312,
0.0925,-0.8740234375,
0.093,-0.908203125,
0.0935,-1.274414062,
0.094,-1.15234375,
0.0945,-0.2880859375,
0.095,0.7177734375,
0.0955,1.435546875,
0.096,1.845703125,
0.0965,1.806640625,
0.097,1.279296875,
0.0975,0.78125,
0.098,1.215820312,
0.0985,1.967773438,
0.099,1.860351562,
0.0995,0.908203125,
0.1,0.1611328125,
0.1005,-0.1123046875,
0.101,-0.458984375,
0.1015,-0.8349609375,
0.102,-0.927734375,
0.1025,-0.76171875,
0.103,-0.6005859375,
0.1035,-0.1171875,
0.104,0.83984375,
0.1045,1.494140625,
0.105,1.000976562,
0.1055,0.0732421875,
0.106,-0.234375,
0.1065,-0.1513671875,
0.107,-0.302734375,
0.1075,-0.546875,
0.108,-0.6396484375,
0.1085,-0.78125,
0.109,-1.215820312,
0.1095,-1.58203125,
0.11,-1.318359375,
0.1105,-0.9912109375,
0.111,-0.849609375,
0.1115,-0.33203125,
0.112,0.7861328125,
0.1125,1.640625,
0.113,1.708984375,
0.1135,1.518554688,
0.114,1.499023438,
0.1145,1.30859375,
0.115,0.6640625,
0.1155,0.15625,
0.116,0.17578125,
0.1165,0.29296875,
0.117,0.1708984375,
0.1175,0.2587890625,
0.118,0.4541015625,
0.1185,0.185546875,
0.119,-0.2734375,
0.1195,-0.0390625,
0.12,0.8642578125,
0.1205,1.557617188,
0.121,1.479492188,
0.1215,1.171875,
0.122,1.069335938,
0.1225,0.6689453125,
0.123,0.029296875,
0.1235,-0.458984375,
0.124,-0.8984375,
0.1245,-1.58203125,
0.125,-1.997070312,
0.1255,-1.591796875,
0.126,-0.810546875,
0.1265,-0.615234375,
0.127,-1.07421875,
0.1275,-1.206054688,
0.128,-0.7373046875,
0.1285,-0.2099609375,
0.129,0.263671875,
0.1295,0.7763671875,
0.13,0.91796875,
0.1305,0.46875,
0.131,-0.0634765625,
0.1315,-0.13671875,
0.132,-0.1611328125,
0.1325,-0.6689453125,
0.133,-1.225585938,
0.1335,-1.040039062,
0.134,-0.3369140625,
0.1345,0.1708984375,
0.135,0.517578125,
0.1355,0.9326171875,
0.136,1.127929688,
0.1365,0.927734375,
0.137,0.9033203125,
0.1375,1.254882812,
0.138,1.50390625,
0.1385,1.186523438,
0.139,0.673828125,
0.1395,0.4248046875,
0.14,-0.0048828125,
0.1405,-0.849609375,
0.141,-1.430664062,
0.1415,-1.372070312,
0.142,-1.15234375,
0.1425,-1.07421875,
0.143,-0.869140625,
0.1435,-0.3759765625,
0.144,-0.05859375,
0.1445,-0.107421875,
0.145,-0.13671875,
0.1455,-0.0146484375,
0.146,-0.244140625,
0.1465,-0.76171875,
0.147,-0.83984375,
0.1475,-0.4931640625,
0.148,-0.498046875,
0.1485,-1.069335938,
0.149,-1.58203125,
0.1495,-1.684570312,
0.15,-1.50390625,
0.1505,-1.15234375,
0.151,-0.439453125,
0.1515,0.3515625,
0.152,0.6201171875,
0.1525,0.64453125,
0.153,1.069335938,
0.1535,1.611328125,
0.154,1.513671875,
0.1545,0.888671875,
0.155,0.4150390625,
0.1555,0.3369140625,
0.156,0.2978515625,
0.1565,0.17578125,
0.157,0.146484375,
0.1575,-0.0048828125,
0.158,-0.546875,
0.1585,-0.8251953125,
0.159,-0.3369140625,
0.1595,0.390625,
0.16,0.68359375,
0.1605,0.64453125,
0.161,0.732421875,
0.1615,0.8251953125,
0.162,0.546875,
0.1625,0.0634765625,
0.163,-0.2587890625,
0.1635,-0.654296875,
0.164,-1.259765625,
0.1645,-1.567382812,
0.165,-1.333007812,
0.1655,-1.079101562,
0.166,-1.181640625,
0.1665,-1.240234375,
0.167,-0.9521484375,
0.1675,-0.576171875,
0.168,-0.361328125,
0.1685,0.0048828125,
0.169,0.68359375,
0.1695,1.118164062,
0.17,0.966796875,
0.1705,0.712890625,
0.171,0.5712890625,
0.1715,0.3076171875,
0.172,-0.0634765625,
0.1725,-0.166015625,
0.173,0.029296875,
0.1735,0.078125,
0.174,-0.0390625,
0.1745,0.1708984375,
0.175,0.791015625,
0.1755,1.157226562,
0.176,1.079101562,
0.1765,1.064453125,
0.177,1.26953125,
0.1775,1.411132812,
0.178,1.42578125,
0.1785,1.42578125,
0.179,1.181640625,
0.1795,0.3955078125,
0.18,-0.546875,
0.1805,-0.91796875,
0.181,-0.771484375,
0.1815,-0.7763671875,
0.182,-0.99609375,
0.1825,-0.947265625,
0.183,-0.6494140625,
0.1835,-0.37109375,
0.184,-0.107421875,
0.1845,0.2197265625,
0.185,0.341796875,
0.1855,0.05859375,
0.186,-0.21484375,
0.1865,-0.01953125,
0.187,0.2880859375,
0.1875,0.068359375,
0.188,-0.439453125,
0.1885,-0.751953125,
0.189,-0.869140625,
0.1895,-0.9033203125,
0.19,-0.68359375,
0.1905,-0.13671875,
0.191,0.3759765625,
0.1915,0.576171875,
0.192,0.78125,
0.1925,1.26953125,
0.193,1.616210938,
0.1935,1.508789062,
0.194,1.2890625,
0.1945,1.240234375,
0.195,1.07421875,
0.1955,0.703125,
0.196,0.419921875,
0.1965,0.3466796875,
0.197,0.13671875,
0.1975,-0.3369140625,
0.198,-0.64453125,
0.1985,-0.52734375,
0.199,-0.2880859375,
