

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  32.905             1         1         1
     2  32.905             1         2         2
     3  158.53             1         3         3
     4  158.53             1         4         4
     5  464.75             1         5         5
     6  512.32             1         6         6
     7  512.32             1         7         7
     8  655.59             1         8         8
     9  1028.2             1         9         9
    10  1720.3             1        10        10
    11  1734.4             1        11        11
    12  3013.5             1        12        12
    13  4754.2             1        13        13
    14  4754.2             1        14        14
    15  5854.0             1        15        15
    16  5854.0             1        16        16
    17  6972.9             1        17        17
    18  6972.9             1        18        18


