

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  33.741             1         1         1                  
     2  33.741             1         2         2                  
     3  150.00             1         3         3                  
     4  150.00             1         4         4                  
     5  416.33             1         5         5                  
     6  416.33             1         6         6                  
     7  465.50             1         7         7                  
     8  653.32             1         8         8                  
     9  918.99             1         9         9                  
    10  918.99             1        10        10                  
    11  985.93             1        11        11                  
    12  1632.8             1        12        12                  
    13  1642.2             1        13        13                  
    14  1748.9             1        14        14                  
    15  1748.9             1        15        15                  

